Acrònim,Universitat,Valor,Valor1,Tipus,Color
UCO,Universidad de Córdoba,1174,,Estudiants,#CC6D4E
UAH,Universidad de Alcalá de Henares,1078,,Estudiants,#CC6D4E
URV,Universitat Rovira i Virgili,1103,,Estudiants,#CC6D4E
UJI,Universitat Jaume I,1336,,Estudiants,#CC6D4E
UdG,Universitat de Girona,1505,,Estudiants,#CC6D4E
UdL,Universitat de Lleida,1414,,Estudiants,#CC6D4E
UVi,Universidad de Vigo,895,,Estudiants,#CC6D4E
UIB,Universitat de les Illes Balears,576,,Estudiants,#CC6D4E
UCO,Universidad de Córdoba,,6.5,Percentatge,#6E777F
UAH,Universidad de Alcalá de Henares,,5.9,Percentatge,#6E777F
URV,Universitat Rovira i Virgili,,7.9,Percentatge,#6E777F
UJI,Universitat Jaume I,,9.7,Percentatge,#6E777F
UdG,Universitat de Girona,,9.8,Percentatge,#6E777F
UdL,Universitat de Lleida,,14,Percentatge,#6E777F
UVi,Universidad de Vigo,,4.5,Percentatge,#6E777F
UIB,Universitat de les Illes Balears,,4.2,Percentatge,#6E777F
